Efficiency,Id,Identifier,Title,Videos,Readed Videos
220,77,UCbVZdLngJH6KOJvpAOO3qTw,Joshua Morony,331,331
210,324,UCuudpdbKmQWq2PPzYgVCWlA,Indently,825,828
208,323,UCAv58974MByI1SL2Gy_jhjg,Sir Freelancealot,12,12
208,357,UC7rZyaDSKIZ8St_BcpwOaxQ,Simon Brown,2,2
203,213,UCiA3tURI8dwCOUzCeM90c2g,Jesse Dietrichson,131,132
203,83,UC0BbBIkELKzYpCKFbnyQWmQ,Example Program,163,163
196,174,UC1Be9fnFTlcsUlejgfqag0g,Java Guides,753,753
196,180,UC6qj_bPq6tQ6hLwOBpBQ42Q,CodeVault,301,301
190,158,UC1cOIo0icmgyk0KaYXKgDZQ,Education Ecosystem,280,281
190,149,UCc3apIciZhgTUw_kk6C9EJQ,DevMentors EN,72,75
190,380,UCfL1_S3FIn1LUUjegGbIN3A,Code Maze,61,61
189,362,UCqAL_b-jUOTPjrTSNl2SNaQ,Software Developer Diaries,129,129
181,373,UCCqmbn5-z_t15tYbUreWcNA,Teddy Smith,317,317
178,276,UCzz6ructab1U44QPI3HpZEQ,Stanford MLSys Seminars,111,111
176,166,UCBwvQc_3OkejVEZbHjqiNTg,Rahul Nath,175,175
172,394,UCnLG3faqJVbi2BsvMS87Kng,Cloud Vikings,65,65
170,221,UCey-eKI5lrPxMSq5Uhly9Gg,Dev Odyssey,57,57
170,231,UCRIL34doDYqTBSyCoQINydw,Daniel Donbavand,26,26
169,382,UCHd1qamEkVSlTWkEqIqJbEQ,Visual Computer Science,27,27
168,111,UC_n9wCmDG064tZUKZF2g4Aw,WafaStudies,491,491
168,125,UCYHViG6LaCBexHy9FO1P88Q,Oracle .NET and Windows,22,22
167,210,UCOknqk-MSOCf3SANW8Wumfg,Cheezy Code,413,414
166,40,UCC_dVe-RI-vgCZfls06mDZQ,Milan Jovanović,512,512
160,122,UClEEzwG7Tl3-8eY11Qytsog,TomDoesTech,176,176
159,406,UCTbHPk0bIOQwTXuGgD195bw,Claudio Bernasconi,103,103
158,184,UCV26kRmZIQALWhCkO_XKA-Q,Frank Liu,196,196
156,62,UCvtT19MZW8dq5Wwfu6B0oxw,dotnet,1824,63
151,46,UCEcj1-hpydLum2N1d02Leuw,Cloud Guru Amit,259,160
148,326,UCPBK_brqoVQtO-fOWpxQGXw,Smoljames,190,190
144,335,UCIjIAXXsX4YMYeFj-LP42-Q,Anthony GG,374,375
143,200,UCP_jWxjn__YXmo4iU7Low0g,Raw Coding,487,487
137,211,UCTiylOo3n0vmTKcCaaMHjQw,Pontus Wittenmark,12,12
135,169,UCL-fHOdarou-CR2XUmK48Og,Scott Hanselman,1309,1311
130,133,UCLDmEDH08DcTWCiXZeKxDrA,Will Brock,71,71
130,212,UCFveDSYkRjRve8ly3qXVqCw,AvetisCodes,108,108
128,327,UCfwSZMnpzluV01vjf8ujSwQ,Code with Vincent,187,188
126,369,UC0m81bQuthaQZmFbXEY9QSw,AICodeKing,56,56
119,332,UCaTznQhurW5AaiYPbhEA-KA,Molly Rocket,808,809
118,228,UCP5Ons7fK3yKhX6lhc9XcfQ,Code It Up by AMBITIONED,113,113
116,47,UCjiKyvYzAYCEh4NSfsPG77A,DotNet Core Central,224,225
115,173,UCCXbhmjID-T2I0KfuDPbi6A,Genuine Coder,198,198
114,70,UC5AMiWqFVFxF1q9Ya1FuZ_Q,OktaDev,485,485
110,347,UCYUq87t77YNTG5m256fOXeQ,Gabriel Mongaras,62,62
109,220,UCzrskTiT_ObAk3xBkVxMz5g,AngularConnect,223,223
108,56,UCGp4UBwpTNegd_4nCpuBcow,JetBrains,1827,1828
106,204,UCa-Qgwt5VxN0iP3q6reHN6g,Gavin Lon,181,181
106,186,UC2J07tM000x5WKburzZIPGw,JR ACADEMY,58,58
104,359,UCGCiMvjPON5vnErmPph2YkQ,lepermunna,27,27
